2a01:4f8:c0c:5491::1                     # ric.openbld.net
2a01:4f8:c0c:e8ab::                      # dns.is0mino.com
2a01:4f8:c0c:f97f::1                     # dns.daw.dev
2a01:4f8:c17:2cbd::2                     # ns.data.haus
2a01:4f8:c17:4fbc::2                     # clean.dnsforge.de
2a01:4f8:c17:739a::2                     # fdns2.dismail.de
2a01:4f8:c17:de8b::1                     # dns.deadsec.net
2a01:4f8:1c0c:70d1::1                    # dns.caspervk.net
2a01:4f8:1c0c:8269::2:853                # dns.shareworx.net
2a01:4f8:1c0c:8274::1                    # doh.libredns.gr
2a01:4f8:1c0c:832d::                     # adfree.usableprivacy.net
2a01:4f8:1c17:74e4::2                    # mail.data.haus
2a01:4f8:1c17:8090::1:853                # dns.shareworx.net
2a01:4f8:1c1c:8193::1                    # dns.gutwe.in
2a01:4f8:1c1c:f5e1::1                    # dns.brahma.world
2a01:4f8:2200:44a1::baad:c0d             # dns.vault81.de
2a01:4f8:2200:44a1::baad:c0de            # dns.ourvau.lt
2a01:4f8:c010:21c1::1                    # hole.elbschloss.xyz
2a01:4f8:c010:8396::1                    # dns.busold.ws
2a01:4f8:c010:8c35::175                  # dnsforge.de
2a01:4f8:c010:af93::1                    # dns.kapite.in
2a01:4f8:c012:6d76::1                    # dns.alvosec.com
2a01:4f8:c012:6d9c::1                    # dns.alvosec.com
2a01:4f8:c012:ed89::208                  # clean.dnsforge.de
2a01:4f8:c013:29d::122                   # dnsforge.de
2a01:4f8:c014:b791::1                    # dns.brono.cloud
2a01:4f9:2b:1305::2                      # dns.froth.zone
2a01:4f9:c010:2b9f::2                    # fuchur.pentament.de
2a01:4f9:c010:d7f4::1                    # dns.anon.no
2a01:4f9:c010:e00e::2                    # dns.vaioswolke.xyz
2a01:4f9:c011:aa31::1                    # kids.ns.nwps.fi
2a01:4f9:c011:addc::1                    # dns.braene.com
2a01:4f9:c011:addc::2                    # dns.braene.com
2a01:4f9:c01f:74::1                      # eu1.dns.lavate.ch
2a01:4ff:f0:ca92::1                      # dns.smartguard.io
2a01:678:3:8::2                          # resolver2.absolight.net
2a01:678:3:9::2                          # resolver1.absolight.net
2a01:7c8:bb01:6d9::1                     # meganerd.nl
2a01:e0a:10f:ed30:baac:6fff:feaa:6e7d    # cloud.tezoi.com
2a01:e0a:bc2:47c0:215:5dff:fe01:8705     # dns.freopc.fr
2a01:e0a:bf3:a440::ba89:636              # dns.maitrekuc.fr
2a01:e0a:f30:9100:6e2b:59ff:fee8:7a13    # dns.kebree.fr
2a01:9e00::54                            # rdns.faelix.net
2a01:9e00::55                            # rdns.faelix.net
2a01:9e01::54                            # rdns.faelix.net
2a01:9e01::55                            # rdns.faelix.net
2a02:88:1:e:807::99                      # dns.cert.ee
2a02:88:1:e:807::101                     # dns.cert.ee
2a02:168:a002:0:216:3eff:fed4:dc1a       # dns.momou.ch
2a02:168:a003:0:216:3eff:fe63:c975       # dns.momou.ch
2a02:1b8:10:234::2                       # doh.applied-privacy.net
2a02:6b8::feed:ff                        # common.dot.dns.yandex.net
2a02:6b8::feed:a11                       # family.dns.yandex.ru
2a02:6b8:0:1::feed:ff                    # common.dot.dns.yandex.net, secondary.dns.yandex.ru
2a02:6b8:0:1::feed:a11                   # secondary.family.dns.yandex.ru
2a02:6b8:0:1::feed:bad                   # secondary.safe.dns.yandex.ru
2a02:958:10:2000:213:166:247:100         # dns.csaonline.de
2a02:24d8:71:f194::9                     # adguard.bonis.de
2a02:24d8:71:f213::86:9                  # adguard.bonis.de
2a02:27ae:8000::2a1                      # mil01.dnscry.pt
2a02:6ca3:0:1::2                         # dns.levonet.sk
2a02:6ca3:0:2::2                         # dns.levonet.sk
2a02:6ea0:e605:1::915:1                  # doh1.b-cdn.net, doh2.b-cdn.net
2a02:c206:2172:9461::1                   # ric.openbld.net
2a02:c206:3007:388::1                    # dns.christian.moe, dns.imchristian.de
2a02:c207:3005:3352::1                   # dns.kastner-online.de
2a03:f80:32:52d9::1                      # bru01.dnscry.pt
2a03:f80:57:98b1::1                      # bog01.dnscry.pt
2a03:1ac0:5857:455d::1                   # adguard.onlyfriends.info
2a03:4000:2:d8::1                        # dns.murgi.de
2a03:4000:a:71::1                        # doh.webnmail.de
2a03:4000:10:2a::                        # dns.karl.one
2a03:4000:17:7e5::b00b                   # dns.grqu.de
2a03:4000:1d:36d::1                      # abel.waringer-atg.de
2a03:4000:20:2db::1                      # dns.warpnine.de
2a03:4000:29:5aa::b182:4444              # ns2.4netguides.org
2a03:4000:2a:2c1::1                      # dns.hahnjo.de
2a03:4000:31:81::                        # dns.clanless.ovh
2a03:4000:38:20e::853                    # dns.kernel-error.de
2a03:4000:42:6c5::1                      # dns.bermeitinger.eu
2a03:4000:47:8b::1                       # dns.kescher.at
2a03:4000:51:be:c458:19ff:fe28:b481      # dns.immanuelschaffer.de
2a03:4000:52:be:38fd:75ff:fef8:852a      # adguard.pangerl.it
2a03:4000:59:de9:202:61:199:183          # dns.neeb.it
2a03:4000:5d:64:1446:62ff:fe9c:f7a4      # adfreedns.top
2a03:5180:7:2:84ba:82f4:da86:1           # adguard.wirimij.nl
2a03:90c0:555::72                        # lim02.dnscry.pt
2a03:90c0:5f1:2903::539                  # evn01.dnscry.pt
2a03:94e0:1804::1                        # ns4.opennameserver.org
2a03:94e0:ffff:194:32:107:0:93           # dns.anon.no
2a03:94e3:222b::1032                     # ams01.dnscry.pt
2a03:b0c0:1:d0::ebe:d001                 # doh.dnscrypt.uk
2a03:b0c0:3:d0::2b46:d001                # c.cicitt.ch
2a03:c7c0:52:2641:180::13                # mad01.dnscry.pt
2a03:cfc0:8000:26::c303:dda2             # waw02.dnscry.pt
2a04:c44:e00:f81f:400:84ff:fe00:1cee     # dns.momou.ch
2a04:6f00:3::2                           # ee-tll.doh.sb
2a04:6f00:4::17a                         # tll01.dnscry.pt
2a05:1500:600:8:1c00:45ff:fe00:13ce      # ns3.bit-trail.nl
2a05:5502::5906:97f8:2d0e:1              # bts01.dnscry.pt
2a05:91c0:503:7314::1                    # zdn.ro
2a05:93c2:1001:101a:f816:3eff:fe81:8ef4  # ru-mow.doh.sb
2a05:9406::ae1                           # gva01.dnscry.pt
2a05:bec0:1:21::2                        # pihole2.hoerli.net
2a05:bec0:32::2                          # doh.defaultroutes.de
2a05:f480:1400:aff:5400:2ff:fed2:1f84    # adguardhome.atakorah.com
2a05:f480:1400:aff:590a:34ce:66f:5188    # adguardhome.atakorah.com
2a05:f480:1400:3363:5400:5ff:fe69:cd6f   # dns.flatuslifir.is
2a05:f480:1400:3c56:5400:5ff:fe56:d8ff   # dns.flatuslifir.is
2a05:f480:2400:1ee8::acac                # dns.netvpn.net
2a05:fc84::42                            # dns.digitale-gesellschaft.ch, dns1.digitale-gesellschaft.ch
2a05:fc84::43                            # dns.digitale-gesellschaft.ch
2a05:fc87:1:11::171                      # resolv2.trash.net
2a06:1700:100:20::1                      # resolv.flokinet.net
2a06:98c1:52::4                          # mozilla.cloudflare-dns.com
2a06:9f44:f3e0:1::b3b4:51d               # antivirus.bebasid.com
2a06:9f44:f3e0:b00b:beba::51d            # internetsehat.bebasid.com
2a06:f902:4001:100:9000:9000:f90b:3ea    # fjr01.dnscry.pt
2a06:f902:8001:100::1757:e617            # bom01.dnscry.pt
2a07:a105:c0f:fee::20                    # dns.neeb.it
2a07:a8c0::                              # anycast.dns.nextdns.io
2a07:a8c1::                              # anycast.dns.nextdns.io
2a07:d884:100::344                       # fra02.dnscry.pt
2a07:e340::2                             # dns.mullvad.net
2a07:e340::3                             # adblock.dns.mullvad.net, adblock.doh.mullvad.net
2a07:e340::4                             # base.dns.mullvad.net
2a07:e340::5                             # extended.dns.mullvad.net
2a07:e340::6                             # family.dns.mullvad.net
2a07:e340::9                             # all.dns.mullvad.net
2a07:efc0:1001:a5ce::b4b4                # ams02.dnscry.pt
2a09:0:1:a::a                            # de-fra.doh.sb
2a09:0:8::15                             # de-dus.doh.sb
2a09:8280:1::1:7432                      # max.rethinkdns.com
2a09:8280:1::1:da1b                      # dns.dnswarden.com, fr1.dnswarden.com
2a09:8280:1::6:293                       # doh.sunoaki.net
2a09:8280:1::5b:8a28                     # doh.sunoaki.net
2a09:cd43:f:42a1::5                      # ath01.dnscry.pt
2a09:cd46:f:429e::5                      # dub01.dnscry.pt
2a0a:4cc0:0:f31::1                       # dns.kescher.at
2a0a:51c0::7fe                           # dns.lars-lehmann.net
2a0a:6040:973d::a                        # tyo02.dnscry.pt
2a0a:8dc0:6058::a                        # man01.dnscry.pt
2a0a:8dc0:a067::a                        # abn01.dnscry.pt
2a0a:be80::cbe:4444                      # cubedns.com
2a0a:be80::cbe:4445                      # cubedns.com
2a0c:5700:3133:650:ba68:95ff:fe53:3d16   # dns.anon.no
2a0c:8902::53                            # dns.dnshome.de
2a0c:9a40:2201:10::1912                  # dns.flatuslifir.is
2a0c:e300::1337                          # dns.aquilenet.fr
2a0d:4d00:81::3                          # a.safe.ns.dnslify.com
2a0d:4d00:81::4                          # b.safe.ns.dnslify.com
2a0d:4d00:81::5                          # a.family.ns.dnslify.com
2a0d:4d00:81::6                          # b.family.ns.dnslify.com
2a0d:4d00:81::81                         # a.ns.dnslify.com
2a0d:4d00:83::83                         # b.ns.dnslify.com
2a0d:5641:1a30:195:5054:ff:fee0:652d     # chromium.dns.nextdns.io, dns.nextdns.io, steering.nextdns.io
2a0d:8144:0:f6:2915:af:0:18              # omr01.dnscry.pt
2a0d:bbc7::f816:3eff:fe28:137a           # resolver.r0cket.net
2a0d:d8c0:0:f043::6927                   # cvt01.dnscry.pt
